"","employees","salaries_2017","salary_adjustment","salaries_2018","got_raise"
"1","Employee 1",45641.0476309247,-4247.01477750205,41394.0328534227,FALSE
"2","Employee 2",43692.0574842952,-561.292798956856,43130.7646853384,FALSE
"3","Employee 3",43184.8326558247,2999.51256602071,46184.3452218454,TRUE
"4","Employee 4",41724.2502910085,2978.0380113516,44702.2883023601,TRUE
"5","Employee 5",49527.2913295776,-4372.29664996266,45154.9946796149,FALSE
"6","Employee 6",43026.2196599506,-1109.0360826347,41917.1835773159,FALSE
"7","Employee 7",47766.0765242763,1739.75866870023,49505.8351929765,TRUE
"8","Employee 8",44531.5998559818,-1454.37368541025,43077.2261705715,FALSE
"9","Employee 9",46516.1552513018,9169.8327253107,55685.9879766125,TRUE
"10","Employee 10",43051.0205356404,-2005.361802876,41045.6587327644,FALSE
"11","Employee 11",42455.5206578225,482.729200739413,42938.2498585619,TRUE
"12","Employee 12",46807.1221583523,-2049.85458985902,44757.2675684933,FALSE
"13","Employee 13",43190.5257725157,-810.800553299487,42379.7252192162,FALSE
"14","Employee 14",49519.0277579241,-3578.49201303907,45940.535744885,FALSE
"15","Employee 15",48427.6383044198,552.780753932893,48980.4190583527,TRUE
"16","Employee 16",40864.7912135348,5138.08212243021,46002.873335965,TRUE
"17","Employee 17",46336.6954703815,-486.89050716348,45849.804963218,FALSE
"18","Employee 18",43406.5978322178,-1652.2090358194,41754.3887963984,FALSE
"19","Employee 19",42813.474026043,-4714.80590873398,38098.668117309,FALSE
"20","Employee 20",46686.6902518086,3289.4425408449,49976.1327926535,TRUE
"21","Employee 21",46367.3295639455,5064.90248139016,51432.2320453357,TRUE
"22","Employee 22",40655.8768660761,-2250.40959543549,38405.4672706407,FALSE
"23","Employee 23",41103.5086330958,-2398.36804685183,38705.1405862439,FALSE
"24","Employee 24",46013.9959165826,4713.02482881583,50727.0207453985,TRUE
"25","Employee 25",45429.5393638313,-4764.74090130068,40664.7984625306,FALSE
"26","Employee 26",42689.2018504441,-2332.95096666552,40356.2508837786,FALSE
"27","Employee 27",49098.0821312405,-3200.7090584375,45897.373072803,FALSE
"28","Employee 28",42021.4367238805,-3504.47467062622,38516.9620532542,FALSE
"29","Employee 29",49778.0795046128,-2440.71686174721,47337.3626428656,FALSE
"30","Employee 30",47489.5165115595,6537.33745566569,54026.8539672252,TRUE
"31","Employee 31",48551.3502289541,2709.8762022797,51261.2264312338,TRUE
"32","Employee 32",45010.1126497611,-4308.43314854428,40701.6795012169,FALSE
"33","Employee 33",44614.7214085795,573.423589812592,45188.1449983921,TRUE
"34","Employee 34",45092.8174518049,3864.58969907835,48957.4071508832,TRUE
"35","Employee 35",43284.453228116,8926.75894778222,52211.2121758983,TRUE
"36","Employee 36",46319.1369967535,7351.03226848878,53670.1692652423,TRUE
"37","Employee 37",41980.7338435203,9744.15129050612,51724.8851340264,TRUE
"38","Employee 38",42594.7272428311,2417.62993391603,45012.3571767472,TRUE
"39","Employee 39",48628.8181156851,6436.63121853024,55065.4493342154,TRUE
"40","Employee 40",42874.2143325508,7364.39567990601,50238.6100124568,TRUE
"41","Employee 41",46096.3065666147,364.975611446425,46461.2821780611,TRUE
"42","Employee 42",40047.7127893828,5688.57007077895,45736.2828601617,TRUE
"43","Employee 43",46746.6116440482,-941.350741777569,45805.2609022707,FALSE
"44","Employee 44",45268.7706612051,6476.88663215376,51745.6572933588,TRUE
"45","Employee 45",46733.8887415826,676.474402425811,47410.3631440084,TRUE
"46","Employee 46",46014.4091956317,7548.9318172913,53563.341012923,TRUE
"47","Employee 47",45610.6507545337,4482.76032111607,50093.4110756498,TRUE
"48","Employee 48",41346.968433354,1319.90426336415,42666.8726967182,TRUE
"49","Employee 49",49774.8677409254,7241.53591203503,57016.4036529604,TRUE
"50","Employee 50",49601.6629156657,-4708.15122593194,44893.5116897337,FALSE
"51","Employee 51",44650.1709031872,-2901.11645706929,41749.054446118,FALSE
"52","Employee 52",49924.0247975104,4852.21724491566,54776.242042426,TRUE
"53","Employee 53",47840.2174729854,2617.45308409445,50457.6705570798,TRUE
"54","Employee 54",46041.0111257806,-2254.76539111696,43786.2457346637,FALSE
"55","Employee 55",49891.1888385192,1143.59027706087,51034.77911558,TRUE
"56","Employee 56",42792.8617433645,-4735.27842434123,38057.5833190233,FALSE
"57","Employee 57",45934.3913802877,1872.44644155726,47806.837821845,TRUE
"58","Employee 58",47940.3624404222,2145.97007026896,50086.3325106911,TRUE
"59","Employee 59",49714.4559887238,579.098805319518,50293.5547940433,TRUE
"60","Employee 60",43064.6159267053,5026.48388501257,48091.0998117179,TRUE
"61","Employee 61",41298.1069926172,-3257.39511521533,38040.7118774019,FALSE
"62","Employee 62",43785.6432469562,6233.34656236693,50018.9898093231,TRUE
"63","Employee 63",45458.817165345,3632.36418226734,49091.1813476123,TRUE
"64","Employee 64",49755.7260212488,1764.17311653495,51519.8991377838,TRUE
"65","Employee 65",40404.5831481926,3430.31021649949,43834.8933646921,TRUE
"66","Employee 66",47325.2011253498,-4276.64759918116,43048.5535261687,FALSE
"67","Employee 67",43268.2410930283,2601.03377397172,45869.2748670001,TRUE
"68","Employee 68",41811.6567330435,2601.03654349223,44412.6932765357,TRUE
"69","Employee 69",47845.8001581021,7170.43886310421,55016.2390212063,TRUE
"70","Employee 70",42947.2033586353,-4936.01536960341,38011.1879890319,FALSE
"71","Employee 71",47937.4853917398,7233.42635435984,55170.9117460996,TRUE
"72","Employee 72",43690.4938821681,-296.491518383846,43394.0023637842,FALSE
"73","Employee 73",47411.1716402695,-3375.78786304221,44035.3837772273,FALSE
"74","Employee 74",43248.9458145574,-2984.51394541189,40264.4318691455,FALSE
"75","Employee 75",41031.9115803577,-3125.68646040745,37906.2251199502,FALSE
"76","Employee 76",46523.5202223994,-4927.86161834374,41595.6586040556,FALSE
"77","Employee 77",45529.7489091754,2038.36880624294,47568.1177154183,TRUE
"78","Employee 78",42889.6753676236,-2122.29036842473,40767.3849991988,FALSE
"79","Employee 79",48028.9920722134,8557.77899618261,56586.771068396,TRUE
"80","Employee 80",49869.5663991384,-882.61048309505,48986.9559160434,FALSE
"81","Employee 81",49824.1086420603,8199.47937387042,58023.5880159307,TRUE
"82","Employee 82",40846.365080215,2644.80866491795,43491.173745133,TRUE
"83","Employee 83",46979.6503591351,8773.60924845561,55753.2596075907,TRUE
"84","Employee 84",42896.0393741727,-2151.94190270267,40744.09747147,FALSE
"85","Employee 85",41989.4304592162,-2705.4897765629,39283.9406826533,FALSE
"86","Employee 86",45962.0279748924,-1800.08616880514,44161.9418060873,FALSE
"87","Employee 87",49757.2920541279,6060.36284239963,55817.6548965275,TRUE
"88","Employee 88",43577.7163645253,4807.23038665019,48384.9467511754,TRUE
"89","Employee 89",43905.9732365422,4356.31287866272,48262.2861152049,TRUE
"90","Employee 90",42765.4844499193,4145.78307652846,46911.2675264478,TRUE
"91","Employee 91",47014.1709176823,6486.63571453653,53500.8066322189,TRUE
"92","Employee 92",40396.1257985793,391.321358038113,40787.4471566174,TRUE
"93","Employee 93",47353.3784761094,1850.75129615143,49204.1297722608,TRUE
"94","Employee 94",46233.0034771003,6236.01369094104,52469.0171680413,TRUE
"95","Employee 95",42030.4902154021,2620.92764838599,44651.4178637881,TRUE
"96","Employee 96",43239.3465307541,-4619.61382534355,38619.7327054106,FALSE
"97","Employee 97",49457.26638427,8663.29906508327,58120.5654493533,TRUE
"98","Employee 98",47298.5206800513,2337.02940284275,49635.550082894,TRUE
"99","Employee 99",47583.4308657795,-1018.8237647526,46564.6071010269,FALSE
"100","Employee 100",45679.6606490389,-2227.9034240637,43451.7572249752,FALSE
